customer_id,age,gender,city,purchase_frequency,avg_order_value,recency_days,total_orders,total_spent,preferred_category
CUST1042,36,Female,Hyderabad,8.8,480.9,21,58,23463.72,Sports
CUST1043,37,Female,Bangalore,0.4,148.61,131,79,914.35,Fashion
CUST1044,47,Male,Delhi,2.1,177.45,36,50,2684.43,Home
CUST1045,31,Male,Bangalore,7.6,457.5,5,24,23550.83,Fashion
CUST1046,36,Female,Chennai,8.8,515.17,13,56,23871.15,Sports
CUST1047,40,Female,Hyderabad,8.2,426.17,5,33,23216.44,Home
CUST1048,35,Male,Delhi,7.9,427.5,8,42,23062.45,Home
CUST1049,38,Female,Mumbai,0.0,150.54,123,17,573.47,Electronics
CUST1050,38,Female,Delhi,9.7,526.82,12,51,24032.61,Electronics
CUST1051,37,Female,Mumbai,6.3,594.35,18,51,23381.43,Home
CUST1052,32,Female,Delhi,3.8,222.17,32,25,2540.43,Electronics
CUST1053,29,Female,Chennai,1.7,216.74,56,64,2558.06,Sports
CUST1054,38,Male,Bangalore,0.6,252.08,103,13,100.0,Home
CUST1055,39,Male,Bangalore,2.6,211.21,72,50,2655.42,Home
CUST1056,43,Male,Hyderabad,8.1,632.36,17,44,22531.06,Fashion
CUST1057,41,Female,Chennai,2.7,221.3,50,51,2687.22,Fashion
CUST1058,32,Male,Delhi,7.5,389.13,17,33,23760.92,Electronics
CUST1059,31,Female,Bangalore,4.1,134.03,65,30,2581.73,Fashion
CUST1060,38,Female,Mumbai,8.4,388.61,19,61,23536.95,Fashion
CUST1061,37,Male,Mumbai,0.5,151.89,89,76,100.0,Electronics
CUST1062,30,Female,Bangalore,2.5,56.99,26,18,2910.7,Electronics
CUST1063,23,Female,Chennai,4.6,101.94,22,62,2359.18,Sports
CUST1064,49,Male,Chennai,0.5,173.13,124,32,463.87,Sports
CUST1065,26,Female,Mumbai,9.2,552.35,18,30,24019.3,Home
CUST1066,39,Male,Chennai,8.8,491.6,13,27,23145.79,Electronics
CUST1067,41,Female,Hyderabad,0.0,246.01,90,59,901.04,Home
CUST1068,35,Female,Mumbai,9.6,429.09,19,47,22781.11,Home
CUST1069,35,Male,Mumbai,1.3,256.66,26,6,3301.15,Sports
CUST1070,18,Female,Mumbai,3.8,105.47,42,67,2012.16,Sports
CUST1071,25,Female,Hyderabad,4.7,111.83,28,68,1831.53,Home
CUST1072,37,Male,Delhi,6.5,54.46,43,60,2750.94,Sports
CUST1073,27,Female,Delhi,5.7,97.82,48,70,3034.52,Fashion
CUST1074,32,Female,Delhi,5.0,100.86,34,12,2515.7,Sports
CUST1075,28,Female,Mumbai,4.6,85.18,16,46,2823.14,Beauty
CUST1076,28,Male,Delhi,4.2,64.84,20,57,2519.05,Sports
CUST1077,24,Male,Delhi,5.9,81.3,27,47,2644.94,Beauty
CUST1078,34,Male,Mumbai,9.6,597.68,10,44,23891.93,Fashion
CUST1079,37,Male,Bangalore,0.0,105.38,114,53,970.38,Electronics
CUST1080,41,Female,Delhi,1.2,77.54,145,49,945.2,Fashion
CUST1081,32,Female,Hyderabad,1.3,159.9,30,26,1708.41,Sports
CUST1082,46,Male,Chennai,5.4,509.11,11,67,23441.99,Sports
CUST1083,57,Female,Mumbai,0.4,124.73,107,29,440.89,Beauty
CUST1084,33,Male,Hyderabad,2.5,140.49,43,76,1855.4,Home
CUST1085,27,Male,Hyderabad,4.1,85.29,43,54,1884.45,Sports
CUST1086,38,Female,Bangalore,10.1,539.83,29,47,23902.98,Fashion
CUST1087,37,Male,Bangalore,1.4,156.38,46,19,1570.09,Beauty
CUST1088,36,Female,Chennai,0.6,194.93,99,40,1356.64,Home
CUST1089,32,Female,Bangalore,6.0,71.64,43,57,2361.34,Fashion
CUST1090,28,Female,Mumbai,5.4,127.83,46,41,2871.56,Beauty
CUST1091,27,Female,Hyderabad,5.0,87.64,49,19,2232.71,Home
CUST1092,49,Male,Delhi,0.4,223.51,73,10,142.21,Sports
CUST1093,34,Female,Delhi,5.5,90.04,42,14,1350.88,Fashion
CUST1094,24,Male,Delhi,5.3,88.5,17,38,2600.55,Sports
CUST1095,47,Male,Bangalore,0.9,175.31,83,73,800.95,Home
CUST1096,28,Female,Hyderabad,4.7,71.03,31,40,3230.31,Fashion
CUST1097,43,Female,Hyderabad,7.3,576.71,12,6,22853.99,Beauty
CUST1098,42,Male,Bangalore,8.5,565.18,13,13,24401.25,Home
CUST1099,40,Male,Bangalore,1.0,154.54,88,17,294.46,Sports
CUST1100,34,Male,Chennai,9.5,477.03,1,56,22995.68,Electronics
CUST1101,28,Male,Bangalore,2.0,248.26,56,54,2786.08,Electronics
CUST1102,53,Female,Bangalore,0.0,99.49,89,54,695.45,Electronics
CUST1103,29,Female,Hyderabad,6.7,520.78,4,12,23488.59,Beauty
CUST1104,29,Male,Hyderabad,4.4,93.35,20,75,3215.18,Home
CUST1105,31,Male,Chennai,4.5,64.26,18,41,3213.95,Electronics
CUST1106,32,Female,Bangalore,8.0,563.81,13,45,22739.27,Home
CUST1107,34,Male,Bangalore,3.8,88.3,41,60,1615.36,Sports
CUST1108,42,Male,Chennai,1.5,177.19,36,56,1814.75,Sports
CUST1109,24,Male,Hyderabad,4.3,95.7,39,7,1886.24,Beauty
CUST1110,18,Female,Delhi,0.8,162.35,16,48,2707.6,Home
CUST1111,32,Female,Delhi,1.9,213.6,51,7,2743.3,Sports
CUST1112,43,Male,Mumbai,0.2,161.77,87,60,1078.88,Electronics
CUST1113,24,Female,Hyderabad,3.1,119.89,29,44,2690.73,Sports
CUST1114,38,Female,Hyderabad,7.0,491.38,4,6,23581.21,Fashion
CUST1115,51,Male,Hyderabad,1.2,71.76,79,67,816.66,Beauty
CUST1116,26,Female,Mumbai,4.7,64.65,37,40,3384.51,Electronics
CUST1117,25,Female,Delhi,2.7,285.46,37,15,2349.77,Beauty
CUST1118,42,Female,Chennai,3.9,179.96,42,12,3035.83,Sports
CUST1119,38,Female,Hyderabad,3.4,118.95,53,31,1730.68,Sports
CUST1120,37,Female,Mumbai,9.5,441.34,21,16,24439.2,Home
CUST1121,37,Male,Mumbai,2.5,238.79,44,42,3342.23,Home
CUST1122,37,Female,Bangalore,1.5,190.65,28,62,3452.11,Fashion
CUST1123,18,Male,Bangalore,6.6,56.99,12,15,2798.66,Fashion
CUST1124,37,Female,Bangalore,1.6,262.45,46,52,3316.23,Electronics
CUST1125,47,Female,Hyderabad,1.6,126.24,48,79,3209.35,Electronics
CUST1126,30,Female,Bangalore,1.8,165.75,52,68,1771.73,Electronics
CUST1127,41,Female,Bangalore,0.9,232.65,138,41,963.83,Home
CUST1128,35,Female,Hyderabad,2.3,253.02,46,18,2541.94,Home
CUST1129,22,Female,Chennai,1.0,266.42,26,9,2683.72,Fashion
CUST1130,33,Female,Mumbai,5.3,92.18,36,56,2826.7,Sports
CUST1131,49,Male,Bangalore,8.0,439.33,30,31,23251.84,Sports
CUST1132,35,Female,Chennai,1.5,175.48,42,38,3146.52,Home
CUST1133,44,Male,Delhi,0.3,182.94,155,40,693.77,Fashion
CUST1134,27,Female,Mumbai,5.5,100.33,26,24,2533.27,Sports
CUST1135,27,Female,Hyderabad,1.6,177.9,28,32,2340.12,Electronics
CUST1136,36,Female,Hyderabad,10.6,456.61,16,15,23343.54,Sports
CUST1137,30,Female,Chennai,2.6,223.05,50,63,2596.71,Sports
CUST1138,34,Male,Chennai,10.1,406.1,25,49,23435.05,Electronics
CUST1139,39,Female,Chennai,7.2,383.96,11,19,23717.85,Electronics
CUST1140,33,Female,Delhi,5.8,98.63,21,54,2485.14,Fashion
CUST1141,37,Male,Chennai,8.3,495.07,20,67,22971.78,Fashion
CUST1142,40,Female,Delhi,0.1,223.15,35,7,2725.93,Fashion
CUST1143,46,Male,Hyderabad,0.6,177.93,158,50,1096.87,Sports
CUST1144,35,Male,Chennai,9.2,398.06,1,28,23663.66,Electronics
CUST1145,27,Female,Bangalore,1.5,262.5,48,24,2638.77,Home
CUST1146,30,Female,Delhi,5.6,88.09,14,37,2996.81,Sports
CUST1147,29,Female,Mumbai,6.7,489.06,1,72,22952.73,Sports
CUST1148,45,Female,Chennai,1.3,189.41,46,65,2790.35,Beauty
CUST1149,31,Female,Delhi,3.8,94.05,22,50,3293.09,Electronics
CUST1150,33,Female,Mumbai,0.3,161.77,142,44,1084.81,Electronics
CUST1151,36,Male,Chennai,8.4,465.91,15,37,23690.64,Home
CUST1152,30,Female,Hyderabad,3.1,175.01,47,63,2318.96,Fashion
CUST1153,33,Female,Bangalore,8.6,441.05,14,64,23147.32,Beauty
CUST1154,31,Female,Chennai,7.4,441.28,17,60,23027.24,Fashion
CUST1155,41,Female,Delhi,0.5,220.59,109,46,1044.69,Beauty
CUST1156,28,Male,Mumbai,6.0,59.06,37,15,2987.0,Electronics
CUST1157,47,Male,Delhi,8.7,492.57,15,31,23695.13,Beauty
CUST1158,45,Female,Delhi,2.3,220.43,49,51,3146.29,Home
CUST1159,46,Male,Bangalore,1.1,209.24,104,78,1295.79,Beauty
CUST1160,35,Female,Bangalore,8.4,494.01,22,50,23448.14,Beauty
CUST1161,37,Female,Delhi,3.9,162.28,38,25,3133.6,Fashion
CUST1162,24,Female,Bangalore,4.1,106.3,31,33,2513.71,Beauty
CUST1163,32,Male,Bangalore,0.6,142.98,114,27,1009.55,Fashion
CUST1164,36,Female,Bangalore,8.2,479.17,28,30,23630.99,Fashion
CUST1165,55,Male,Bangalore,0.7,172.96,118,29,100.0,Fashion
CUST1166,45,Male,Bangalore,0.8,156.64,134,29,518.41,Fashion
CUST1167,31,Male,Bangalore,6.7,563.98,35,31,23858.66,Electronics
CUST1168,42,Female,Mumbai,8.8,450.53,8,70,23953.14,Beauty
CUST1169,24,Female,Chennai,0.7,203.75,114,59,1178.89,Fashion
CUST1170,39,Female,Mumbai,7.6,597.86,18,53,22837.02,Beauty
CUST1171,26,Male,Mumbai,6.0,594.69,1,10,23501.39,Fashion
CUST1172,28,Female,Chennai,2.2,172.98,41,15,2981.67,Beauty
CUST1173,37,Male,Mumbai,1.3,137.34,169,52,647.39,Fashion
CUST1174,33,Female,Chennai,0.9,221.4,72,73,2901.6,Fashion
CUST1175,32,Female,Chennai,1.8,117.89,52,8,1294.38,Sports
CUST1176,41,Male,Chennai,1.4,215.91,31,8,2719.4,Electronics
CUST1177,25,Female,Hyderabad,3.2,90.19,31,60,2229.37,Beauty
CUST1178,29,Male,Bangalore,0.8,246.52,50,67,2286.42,Sports
CUST1179,40,Male,Delhi,2.5,237.21,1,56,1942.84,Sports
CUST1180,29,Female,Hyderabad,6.5,59.31,24,69,2737.5,Beauty
CUST1181,31,Male,Delhi,5.6,83.2,43,77,2170.23,Sports
CUST1182,33,Male,Delhi,1.9,206.56,32,18,2762.61,Sports
CUST1183,42,Male,Mumbai,0.9,163.45,135,46,1367.02,Home
CUST1184,25,Male,Bangalore,3.6,79.61,55,60,2562.86,Sports
CUST1185,47,Male,Chennai,0.9,169.18,110,18,393.27,Beauty
CUST1186,28,Male,Chennai,2.7,261.95,44,66,2627.48,Sports
CUST1187,30,Female,Bangalore,5.1,69.21,33,48,2772.56,Fashion
CUST1188,44,Female,Delhi,8.3,452.77,6,58,23666.41,Electronics
CUST1189,36,Female,Bangalore,1.8,185.1,34,23,3278.85,Home
CUST1190,32,Female,Hyderabad,1.5,232.27,48,74,1744.43,Beauty
CUST1191,41,Female,Chennai,1.0,238.52,143,63,1132.83,Home
CUST1192,32,Female,Delhi,5.3,69.7,36,26,2220.77,Electronics
CUST1193,31,Female,Mumbai,0.7,103.35,160,22,646.98,Sports
CUST1194,19,Female,Hyderabad,4.3,50.64,45,42,2113.13,Sports
CUST1195,37,Female,Mumbai,7.5,468.17,27,24,23415.81,Beauty
CUST1196,34,Male,Hyderabad,2.1,275.24,49,68,2632.8,Fashion
CUST1197,34,Male,Chennai,3.8,256.31,42,38,2604.45,Home
CUST1198,33,Female,Delhi,9.0,508.07,17,55,24656.66,Beauty
CUST1199,31,Female,Delhi,2.2,234.29,50,27,2805.59,Fashion
CUST1200,38,Female,Bangalore,5.5,68.88,51,66,2205.97,Sports
CUST1201,48,Female,Bangalore,0.2,212.25,119,31,133.16,Beauty
CUST1202,34,Male,Hyderabad,7.8,356.25,18,29,23715.28,Electronics
CUST1203,31,Male,Chennai,1.8,182.48,52,16,3453.79,Fashion
CUST1204,40,Male,Mumbai,2.7,233.74,28,32,2615.67,Sports
CUST1205,32,Female,Delhi,1.0,281.97,44,70,2656.66,Sports
CUST1206,30,Male,Delhi,3.2,150.32,75,23,2826.75,Fashion
CUST1207,24,Female,Bangalore,1.8,191.83,64,37,3298.17,Beauty
CUST1208,22,Female,Chennai,9.5,468.32,20,57,24426.27,Fashion
CUST1209,45,Female,Hyderabad,0.5,157.42,104,59,209.33,Electronics
CUST1210,20,Female,Hyderabad,6.0,105.3,15,50,2143.56,Sports
CUST1211,30,Female,Mumbai,1.8,185.01,42,25,2241.2,Home
CUST1212,30,Female,Mumbai,2.3,218.28,28,29,3332.83,Sports
CUST1213,22,Female,Delhi,3.8,105.98,32,12,3391.67,Electronics
CUST1214,28,Female,Chennai,4.5,64.22,15,49,2144.03,Home
CUST1215,34,Male,Chennai,1.2,184.03,48,48,2649.21,Fashion
CUST1216,30,Male,Bangalore,5.0,106.72,44,26,2507.98,Sports
CUST1217,24,Female,Hyderabad,5.8,73.81,51,59,2094.44,Fashion
CUST1218,22,Male,Mumbai,2.0,268.19,44,34,3051.4,Sports
CUST1219,28,Female,Chennai,5.0,38.39,23,42,1946.41,Sports
CUST1220,36,Female,Hyderabad,0.9,142.05,62,45,2093.15,Home
CUST1221,23,Male,Chennai,3.2,92.23,29,19,2846.8,Electronics
CUST1222,27,Male,Hyderabad,3.5,101.21,27,32,2339.62,Beauty
CUST1223,39,Female,Mumbai,10.2,500.55,14,42,23440.66,Sports
CUST1224,43,Female,Bangalore,1.1,242.51,26,76,3122.57,Electronics
CUST1225,35,Female,Mumbai,2.1,191.81,65,25,1985.99,Electronics
CUST1226,26,Female,Bangalore,4.6,78.29,41,28,2322.06,Electronics
CUST1227,33,Female,Mumbai,3.1,215.06,41,34,3128.43,Fashion
CUST1228,40,Female,Mumbai,0.9,174.07,156,74,565.38,Electronics
CUST1229,27,Male,Bangalore,4.7,75.42,21,44,3067.12,Beauty
CUST1230,43,Female,Delhi,8.2,511.51,15,5,23600.52,Fashion
CUST1231,23,Female,Chennai,1.1,208.4,31,34,2896.55,Home
CUST1232,41,Female,Delhi,6.4,425.27,21,21,23174.11,Electronics
CUST1233,37,Female,Hyderabad,0.2,163.33,102,6,559.17,Home
CUST1234,47,Female,Mumbai,9.6,420.77,21,72,23224.73,Fashion
CUST1235,20,Male,Bangalore,3.2,95.98,46,73,3139.32,Beauty
CUST1236,28,Male,Bangalore,3.1,70.26,21,53,2231.94,Electronics
CUST1237,26,Male,Hyderabad,6.3,69.41,23,15,2497.56,Electronics
CUST1238,27,Male,Chennai,3.4,235.67,32,19,2752.6,Home
CUST1239,35,Female,Mumbai,1.9,178.73,50,79,2491.4,Sports
CUST1240,29,Male,Hyderabad,1.9,196.74,53,29,3094.42,Home
CUST1241,28,Male,Chennai,5.4,71.04,40,42,3187.36,Home
CUST1242,29,Female,Bangalore,2.8,243.5,38,57,2580.37,Beauty
CUST1243,35,Male,Chennai,0.8,215.68,108,72,831.6,Sports
CUST1244,35,Female,Mumbai,8.5,434.59,18,78,24900.96,Beauty
CUST1245,28,Male,Hyderabad,5.1,109.89,38,21,2208.71,Beauty
CUST1246,33,Male,Mumbai,8.9,462.77,7,26,23737.26,Electronics
CUST1247,40,Female,Mumbai,7.1,397.7,20,39,22431.14,Beauty
CUST1248,30,Female,Delhi,10.1,499.17,18,76,24022.93,Sports
CUST1249,29,Male,Hyderabad,6.0,62.09,43,53,2339.79,Beauty
CUST1250,20,Male,Delhi,3.1,224.37,29,43,1889.14,Home
CUST1251,38,Female,Hyderabad,0.1,199.96,144,38,232.89,Fashion
CUST1252,20,Female,Chennai,5.0,71.02,52,50,2157.59,Electronics
CUST1253,37,Male,Chennai,0.7,232.38,95,22,771.52,Sports
CUST1254,39,Male,Hyderabad,1.3,211.22,38,39,2339.78,Electronics
CUST1255,27,Female,Mumbai,6.2,75.15,43,66,2513.23,Beauty
CUST1256,43,Male,Hyderabad,0.3,97.69,158,16,554.77,Beauty
CUST1257,47,Female,Chennai,1.2,191.94,58,45,1893.64,Home
CUST1258,27,Female,Chennai,5.2,81.31,14,48,2350.16,Electronics
CUST1259,39,Male,Hyderabad,1.1,192.56,56,55,3026.03,Home
CUST1260,44,Female,Delhi,0.7,102.86,112,66,455.51,Home
CUST1261,24,Male,Bangalore,5.3,49.53,36,47,2009.5,Beauty
CUST1262,38,Male,Chennai,2.1,193.73,40,24,3303.46,Sports
CUST1263,26,Male,Chennai,3.9,75.54,51,21,1417.65,Fashion
CUST1264,39,Male,Bangalore,7.6,449.81,1,75,23919.78,Home
CUST1265,29,Male,Hyderabad,2.2,156.88,39,39,2299.79,Sports
CUST1266,37,Female,Chennai,1.9,187.08,46,45,3343.84,Sports
CUST1267,37,Male,Delhi,1.3,140.55,121,79,1168.19,Sports
CUST1268,39,Male,Hyderabad,6.5,542.72,22,56,22856.41,Sports
CUST1269,33,Female,Mumbai,0.2,144.44,92,12,417.07,Home
CUST1270,25,Male,Mumbai,2.4,146.03,62,29,3452.14,Beauty
CUST1271,46,Female,Mumbai,1.2,220.64,40,61,2152.41,Sports
CUST1272,37,Male,Bangalore,1.9,302.02,34,44,2629.39,Home
CUST1273,29,Male,Mumbai,2.8,284.45,36,39,2028.83,Sports
CUST1274,33,Female,Hyderabad,5.6,62.66,21,77,2735.35,Sports
CUST1275,28,Female,Hyderabad,3.8,95.85,28,11,1788.34,Electronics
CUST1276,26,Female,Chennai,5.2,113.26,33,8,2119.66,Sports
CUST1277,20,Female,Delhi,4.8,80.22,36,36,2872.51,Beauty
CUST1278,27,Male,Bangalore,3.9,103.81,17,75,2735.67,Electronics
CUST1279,27,Female,Mumbai,4.1,95.77,42,79,2101.51,Electronics
CUST1280,37,Female,Chennai,1.5,246.85,15,30,3017.06,Beauty
CUST1281,23,Male,Hyderabad,5.2,71.11,22,52,2129.86,Fashion
CUST1282,44,Male,Mumbai,2.4,165.59,58,40,2776.16,Home
CUST1283,36,Male,Hyderabad,0.7,193.03,135,78,1555.94,Sports
CUST1284,18,Male,Bangalore,1.5,153.98,44,18,2310.69,Sports
CUST1285,56,Male,Hyderabad,3.0,241.98,27,54,2224.38,Electronics
CUST1286,48,Male,Bangalore,0.0,234.49,88,56,239.52,Beauty
CUST1287,24,Male,Delhi,3.8,85.08,28,24,2865.72,Fashion
CUST1288,57,Female,Hyderabad,0.4,182.86,114,73,100.0,Electronics
CUST1289,33,Female,Delhi,4.4,125.57,12,17,2612.38,Sports
CUST1290,24,Female,Chennai,6.1,84.67,32,33,1613.78,Beauty
CUST1291,27,Male,Hyderabad,4.0,106.1,22,6,2247.42,Home
CUST1292,26,Female,Mumbai,4.6,119.98,39,59,2783.05,Fashion
CUST1293,38,Female,Chennai,6.5,94.92,15,52,2811.54,Home
CUST1294,27,Male,Bangalore,4.2,87.11,15,12,1869.73,Fashion
CUST1295,39,Female,Bangalore,2.5,256.73,32,17,2740.79,Fashion
CUST1296,37,Male,Hyderabad,2.7,203.42,81,42,2200.4,Sports
CUST1297,21,Female,Bangalore,6.7,51.8,28,55,2947.41,Sports
CUST1298,47,Female,Hyderabad,0.3,53.29,101,35,585.71,Home
CUST1299,43,Female,Delhi,0.0,107.68,142,65,845.17,Beauty
CUST1300,40,Male,Delhi,1.0,199.54,78,79,734.7,Home
CUST1301,42,Male,Hyderabad,0.2,163.98,67,6,100.0,Home
CUST1302,31,Male,Delhi,1.5,223.55,65,63,2440.59,Electronics
CUST1303,31,Male,Hyderabad,3.7,75.66,24,24,2507.75,Home
CUST1304,28,Female,Mumbai,2.2,239.83,46,44,3596.6,Home
CUST1305,33,Male,Bangalore,1.6,200.84,39,77,2334.68,Beauty
CUST1306,34,Male,Hyderabad,1.8,233.12,44,66,2789.56,Beauty
CUST1307,23,Female,Bangalore,0.5,99.06,48,65,2601.82,Electronics
CUST1308,47,Male,Mumbai,2.1,233.56,50,57,2100.52,Electronics
CUST1309,29,Female,Delhi,2.5,192.2,24,32,2984.94,Sports
CUST1310,37,Female,Bangalore,3.3,255.69,39,7,2577.28,Sports
CUST1311,33,Female,Hyderabad,3.5,93.9,20,40,2213.72,Electronics
CUST1312,36,Male,Hyderabad,1.5,221.12,30,44,2578.85,Beauty
CUST1313,40,Female,Mumbai,0.2,226.39,114,17,745.22,Fashion
CUST1314,29,Female,Delhi,4.5,85.89,34,22,2669.64,Beauty
CUST1315,35,Female,Hyderabad,0.6,258.58,50,65,1845.02,Beauty
CUST1316,28,Male,Hyderabad,6.2,88.68,48,76,2848.37,Home
CUST1317,37,Male,Bangalore,0.5,96.03,182,15,1477.26,Electronics
CUST1318,39,Female,Hyderabad,8.5,463.58,23,75,23592.37,Electronics
CUST1319,32,Female,Hyderabad,4.8,82.36,13,61,3142.98,Home
CUST1320,28,Male,Bangalore,4.6,88.29,38,24,1993.2,Beauty
CUST1321,27,Male,Bangalore,2.6,212.51,47,15,2921.74,Beauty
CUST1322,45,Female,Bangalore,1.2,157.81,145,39,210.19,Sports
CUST1323,29,Male,Chennai,6.4,435.62,29,66,23287.38,Fashion
CUST1324,54,Female,Bangalore,0.2,42.55,93,55,1043.8,Electronics
CUST1325,46,Male,Delhi,8.7,603.15,30,5,23406.93,Sports
CUST1326,28,Female,Mumbai,4.3,44.29,30,30,2914.15,Sports
CUST1327,34,Male,Chennai,9.2,413.89,4,42,23906.51,Sports
CUST1328,35,Male,Chennai,1.7,298.57,57,66,1804.28,Home
CUST1329,41,Female,Delhi,2.3,258.55,54,18,2533.57,Home
CUST1330,20,Female,Delhi,4.4,91.77,22,67,1954.54,Home
CUST1331,38,Male,Delhi,1.9,258.99,31,39,2270.02,Beauty
CUST1332,39,Male,Mumbai,8.7,400.46,18,17,24310.29,Home
CUST1333,30,Male,Bangalore,8.8,486.59,21,78,23089.37,Fashion
CUST1334,34,Male,Chennai,10.5,500.44,18,40,23571.39,Home
CUST1335,31,Male,Mumbai,1.7,186.21,55,24,2779.56,Sports
CUST1336,34,Male,Delhi,2.9,170.76,48,37,2431.35,Fashion
CUST1337,33,Male,Hyderabad,6.4,88.83,25,20,3083.54,Sports
CUST1338,35,Female,Mumbai,3.7,56.65,38,64,3011.86,Electronics
CUST1339,32,Male,Hyderabad,1.1,267.86,33,57,2520.98,Fashion
CUST1340,29,Female,Hyderabad,9.6,510.25,27,29,23705.52,Electronics
CUST1341,35,Female,Hyderabad,12.1,463.9,18,35,22739.45,Home
CUST1342,29,Male,Mumbai,2.0,217.24,59,59,2364.92,Fashion
CUST1343,46,Female,Bangalore,0.5,181.91,108,7,1110.35,Electronics
CUST1344,35,Male,Delhi,3.9,63.07,43,22,2410.31,Home
CUST1345,30,Male,Mumbai,2.2,218.42,25,51,2511.73,Sports
CUST1346,39,Male,Hyderabad,7.5,516.06,1,50,23742.38,Fashion
CUST1347,48,Male,Mumbai,0.5,171.13,149,75,1142.25,Fashion
CUST1348,52,Male,Hyderabad,0.7,94.98,114,75,418.11,Sports
CUST1349,26,Male,Hyderabad,1.6,282.46,35,52,2371.64,Beauty
CUST1350,35,Female,Chennai,5.3,52.69,16,58,1426.09,Fashion
CUST1351,36,Male,Mumbai,2.2,254.64,47,71,2919.14,Fashion
CUST1352,27,Male,Delhi,1.0,167.89,151,46,100.0,Electronics
CUST1353,36,Male,Mumbai,8.9,427.47,21,59,23277.22,Beauty
CUST1354,45,Male,Mumbai,1.3,247.91,52,37,2427.81,Electronics
CUST1355,27,Male,Bangalore,0.7,132.05,124,20,208.75,Sports
CUST1356,29,Female,Hyderabad,5.1,580.98,1,53,22771.22,Fashion
CUST1357,29,Male,Bangalore,1.6,152.01,60,13,3042.74,Home
CUST1358,48,Female,Bangalore,0.5,134.14,135,33,110.96,Electronics
CUST1359,46,Male,Chennai,2.1,209.22,33,49,2859.6,Home
CUST1360,29,Female,Bangalore,2.4,158.75,46,5,2900.36,Electronics
CUST1361,38,Female,Chennai,7.2,465.85,20,74,23613.33,Fashion
CUST1362,27,Female,Chennai,6.6,90.04,36,44,3712.78,Home
CUST1363,22,Female,Bangalore,1.6,172.93,46,67,3533.66,Home
CUST1364,36,Male,Hyderabad,7.2,528.16,1,25,24289.02,Electronics
CUST1365,44,Female,Delhi,9.2,423.83,21,72,24498.34,Fashion
